rainfall,year,month,country
52.5053,2002,4,BEN
102.706,2002,5,BEN
159.511,2002,6,BEN
179.064,2002,7,BEN
224.054,2002,8,BEN
154.975,2002,9,BEN
118.856,2002,10,BEN
5.46425,2002,11,BEN
0.11929,2002,12,BEN
10.1514,2003,1,BEN
8.68931,2003,2,BEN
21.237,2003,3,BEN
88.9179,2003,4,BEN
111.366,2003,5,BEN
176.495,2003,6,BEN
180.513,2003,7,BEN
261.195,2003,8,BEN
241.46,2003,9,BEN
90.526,2003,10,BEN
19.6355,2003,11,BEN
1.19258,2003,12,BEN
10.284,2004,1,BEN
5.3144,2004,2,BEN
8.12853,2004,3,BEN
81.427,2004,4,BEN
143.214,2004,5,BEN
138.958,2004,6,BEN
206.676,2004,7,BEN
178.791,2004,8,BEN
197.635,2004,9,BEN
71.3548,2004,10,BEN
13.6119,2004,11,BEN
0.58881,2004,12,BEN
0.02965,2005,1,BEN
12.7871,2005,2,BEN
47.8616,2005,3,BEN
44.5991,2005,4,BEN
102.092,2005,5,BEN
157.604,2005,6,BEN
222.938,2005,7,BEN
163.884,2005,8,BEN
154.73,2005,9,BEN
77.6804,2005,10,BEN
6.04831,2005,11,BEN
0.77513,2005,12,BEN
6.238,2006,1,BEN
7.50411,2006,2,BEN
20.9497,2006,3,BEN
42.8202,2006,4,BEN
126.161,2006,5,BEN
111.994,2006,6,BEN
135.75,2006,7,BEN
200.015,2006,8,BEN
226.011,2006,9,BEN
102.586,2006,10,BEN
11.3018,2006,11,BEN
0,2006,12,BEN
0,2007,1,BEN
5.61582,2007,2,BEN
22.4529,2007,3,BEN
69.0841,2007,4,BEN
150.335,2007,5,BEN
165.152,2007,6,BEN
181.339,2007,7,BEN
254.446,2007,8,BEN
201.705,2007,9,BEN
71.4454,2007,10,BEN
13.7096,2007,11,BEN
5.38506,2007,12,BEN
0.67392,2008,1,BEN
6.77011,2008,2,BEN
25.9544,2008,3,BEN
44.0599,2008,4,BEN
156.356,2008,5,BEN
186.961,2008,6,BEN
228.469,2008,7,BEN
237.07,2008,8,BEN
211.638,2008,9,BEN
88.1046,2008,10,BEN
8.09548,2008,11,BEN
8.59002,2008,12,BEN
4.27186,2009,1,BEN
10.2766,2009,2,BEN
21.9967,2009,3,BEN
72.3121,2009,4,BEN
85.8713,2009,5,BEN
172.46,2009,6,BEN
196.333,2009,7,BEN
225.721,2009,8,BEN
169.663,2009,9,BEN
125.329,2009,10,BEN
21.3035,2009,11,BEN
1.78648,2009,12,BEN
2.45294,2010,1,BEN
7.02823,2010,2,BEN
31.2617,2010,3,BEN
59.9274,2010,4,BEN
132.068,2010,5,BEN
160.048,2010,6,BEN
154.61,2010,7,BEN
229.53,2010,8,BEN
237.132,2010,9,BEN
105.382,2010,10,BEN
22.8552,2010,11,BEN
1.74447,2010,12,BEN
0.12041,2011,1,BEN
24.7458,2011,2,BEN
17.0471,2011,3,BEN
50.0738,2011,4,BEN
104.544,2011,5,BEN
101.229,2011,6,BEN
130.708,2011,7,BEN
179.69,2011,8,BEN
182.876,2011,9,BEN
129.35,2011,10,BEN
0.96315,2011,11,BEN
3.44446,2011,12,BEN
3.50326,2012,1,BEN
20.8102,2012,2,BEN
11.6343,2012,3,BEN
67.4937,2012,4,BEN
135.791,2012,5,BEN
150.604,2012,6,BEN
195.73,2012,7,BEN
138.953,2012,8,BEN
206.153,2012,9,BEN
84.1673,2012,10,BEN
4.1252,2012,11,BEN
5.36955,2012,12,BEN
3.87382,2013,1,BEN
7.13301,2013,2,BEN
37.9446,2013,3,BEN
124.96,2013,4,BEN
124.117,2013,5,BEN
127.788,2013,6,BEN
133.272,2013,7,BEN
156.431,2013,8,BEN
128.881,2013,9,BEN
82.3355,2013,10,BEN
10.7102,2013,11,BEN
8.86954,2013,12,BEN
5.99754,2014,1,BEN
8.02989,2014,2,BEN
23.171,2014,3,BEN
73.1366,2014,4,BEN
115.137,2014,5,BEN
136.842,2014,6,BEN
144.192,2014,7,BEN
190.796,2014,8,BEN
240.111,2014,9,BEN
82.7074,2014,10,BEN
15.8293,2014,11,BEN
0.92981,2014,12,BEN
0.36632,2015,1,BEN
10.6887,2015,2,BEN
67.0441,2015,3,BEN
22.1065,2015,4,BEN
87.2332,2015,5,BEN
103.202,2015,6,BEN
115.141,2015,7,BEN
215.896,2015,8,BEN
167.619,2015,9,BEN
110.624,2015,10,BEN
8.14011,2015,11,BEN
0.86935,2015,12,BEN
0.17722,2016,1,BEN
1.07725,2016,2,BEN
49.1093,2016,3,BEN
48.296,2016,4,BEN
107.708,2016,5,BEN
127.163,2016,6,BEN
152.628,2016,7,BEN
189.434,2016,8,BEN
201.409,2016,9,BEN
64.1838,2016,10,BEN
3.78531,2016,11,BEN
2.71089,2016,12,BEN
0.00021,1991,1,BFA
1.28592,1991,2,BFA
17.547,1991,3,BFA
33.4466,1991,4,BFA
129.32,1991,5,BFA
105.577,1991,6,BFA
167.798,1991,7,BFA
235.493,1991,8,BFA
80.696,1991,9,BFA
71.2762,1991,10,BFA
0.51859,1991,11,BFA
0.02814,1991,12,BFA
0.42591,1992,1,BFA
0.0745,1992,2,BFA
2.24822,1992,3,BFA
26.1474,1992,4,BFA
74.698,1992,5,BFA
111.17,1992,6,BFA
176.162,1992,7,BFA
214.624,1992,8,BFA
109.352,1992,9,BFA
33.6644,1992,10,BFA
8.11182,1992,11,BFA
0.00102,1992,12,BFA
5.00E-05,1993,1,BFA
0.87552,1993,2,BFA
5.96996,1993,3,BFA
20.9146,1993,4,BFA
34.6764,1993,5,BFA
103.641,1993,6,BFA
165.681,1993,7,BFA
220.189,1993,8,BFA
124.994,1993,9,BFA
34.9903,1993,10,BFA
1.27611,1993,11,BFA
0.00227,1993,12,BFA
0.27103,1994,1,BFA
0.97374,1994,2,BFA
